surface_form	n_tokens	total_count	doc_count	zipf	replacement	context
calp	1	15	3	1.29	kelp	5 pounds of good on work scarce steel a full larder of dried fish pickled calp fresh bread smoked lamb and yogurt or large pearls one for each of you and
kanku	1	18	10	0	kenku	their people or slaves for many years far in the north to Shamat but the Kanku of what we had to send from a different branch a different lineage Many of
kenko	1	11	7	1.38	kenku	my heart wants is only to travel to see all these places to meet the Kenko to see the desert to manage some way into a hidden city that doesn't let
cancu	1	8	4	0	kenku	someone would double the singer at the end talking with seeing if I can engage Cancu wanna talk about the experience of like the other cancue at the far end of
cancue	1	3	3	0	kenku	glaze palms armor and being driven dragged into this into this room you see 2 cancue Iron bands on their wrists Pretty disheveled looking There was a hob goblin We sort
kenza	1	880	112	1.41	kenzo	with doesn't know anything this is not this is outside of your your area but Kenza you do recognize this is Relatively common motif that you've seen in very Various artifacts
kenzel	1	84	42	0	kenzo	to it I could harness it Yeah Okay right Ooh So cool Um yeah Kenza Kenzel we'll we'll just you know again Be very grateful And then one more thing and
kensal	1	72	32	1.84	kenzo	you're actually born as well be You are now free All right I looked at Kensal thank you can so I Will take my bonus kind of action to disengage So
penzo	1	49	31	0	kenzo	know nothing No of this place Can you feel it Can you feel them Whirlwind Penzo points towards the whirlwind I felt that since I arrived what's going on What is
kenzie	1	32	24	2.36	kenzo	frustrating What I can just doesn't like caves Gonna be a thing Now isn't that Kenzie I think so Kendall doesn't like a Give me give me a city any day
kenz	1	34	20	1.63	kenzo	this would be even cool It could look just look like wood And then when Kenz attaches it yeah yeah like it like it like and it like animates It becomes
tenzo	1	18	11	0	kenzo	this slow Hello Greetings ancient one I have a voice Who are you I am Tenzo monk of the Awakened soul and also servants to peace and harmony in nature I
henzo	1	9	7	0	kenzo	like Did I lose 27 hit points or not If you lost 27 hit points henzo and and Wellby have an ability where if they succeed on a dexterity saving throw
kenza's	1	144	52	0	kenzo's	tree in this in the salt like part of what i'm imagining is you know Kenza's developing relationships with these different trees and these different kind of entities and he's got
kenzos	1	12	10	0	kenzo's	city not one that you recognize but in many ways a childhood very similar to Kenzos um except if you had in Kenzo's life if he had never found Peso and
kenzel's	1	9	8	0	kenzo's	all the hidden dangers are Now Dallas would lying bastard He's just making shit up Kenzel's out you can see around his neck there's this there's a chain and there's a
tenzo's	1	3	3	0	kenzo's	and possibilities of where where and how it could be used are emerging You know Tenzo's trying his hardest like not to be like Super annoyed at dull with but like
kathra	1	9	3	0	kethra	as he usually does walking as quickly as he can in your direction The dwarf Kathra emerging armor and an app an Amal also from the decks below prepared to fight
kemet	1	18	3	1.81	khemut	there's an elf in the Book of Martyrs and then there's the There's the foreigner Kemet who seeker deduced from the name in a fit of unrealistically heroic inspiration He must
laca	1	17	11	1.72	laka	kenza would be that so the monastery of the lock and mysteries where you studied laca is among other things though The god of knowledge and time Oh i've been studying
magistress	1	13	4	0	magistros	Let's I mean I think we should like set up an audience with the magistrate magistress Emperor whatever his name is It's Concessions might actually be enough Kenza So clean people
murfolk	1	29	10	0	merfolk	Sierra in the sea on the sea They're no murf folk although rumor has at Murfolk live in the Eastern Islands as well I've never met one myself Are they friendly
murf folk	1	18	8	1.38	merfolk	meaning They yes live on the Sierra in the sea on the sea They're no murf folk although rumor has at Murfolk live in the Eastern Islands as well I've never
murphok	1	17	5	0	merfolk	Murf the Murfoke garden out or the place where the sorry We don't know this Murphok There we just assume it's the place where the J Ersk the fifth the last
murpho	1	22	4	0	merfolk	talked about the Murf and the jade Is it Presumably there's not like a giant Murpho city in the middle of the Gulf of Charlotte like that Seems like probably you'd
motu	1	16	4	2.33	motua	souls the border beyond between life and death the veil What of the bell Where Motu I came from From the on the nail and down the veil not beyond We
nyan	1	23	13	2.28	nayan	lot of the history from those first 12 years after the Great War before the nyan dynasty was established are a little bit Well scattered is a nice way to put
newscar	1	11	4	0	nuzkar	your library I can build an archive if you'll have me with you Her name's Newscar By the way this is my sister Igel She cannot She can train with you
orkish	1	16	7	1.01	orcish	we think there's a significant danger growing in the East and we think that this Orkish army is looking for a way is seeking a way through the Shakun's protection and
paranor	1	11	4	0	peronar	you know you can at least know their neighborhood That still leaves one human the paranor and the halfling That you are uncertain of So go to the Elves Neighborhood is
plaguands	1	13	4	0	plaguelands	arrive I I hope that isn't time It's difficult to get reliable estimates of the Plaguands Pace But the last Scouts that I heard of anyway Well it's hard to say
rizwin	1	212	43	0	riswynn	again a little translucent sort of an almost ethereal hammer sort of drifts over towards rizwin iron bands Um I like a tanker but with an iron band like a wedding
riswin	1	178	32	0	riswynn	apparatus to like Naturally reset this little ball that you have rolling around I'm no riswin you know So so it takes like every time somebody like the game ends right
riz when	2	41	27	2.34	riswynn	do just a single bonus action on Armstrong Seventeen hits So twelve bludgeoning there Okay Riz when you're up that ends your turn as though battlefield is nearly cleared at this
rizwan	1	40	22	2.16	riswynn	says enter Enter Well that's promising or I just want to pause for a moment Rizwan to ask if you know Of any local history of Warren cleanse among the dwarves
rizman	1	42	21	0	riswynn	um fires at ah the so at eighteen at Reswin and a three seven at rizman that misses and then at the other warrior one hundred and nineteen and uh twelve
rizwyn	1	56	17	0	riswynn	they It's like forty feet and closing fast I'll come up to stem next to Rizwyn Okay let's stop walking and just raise a hand in greeting and i'll say we
risman	1	25	16	0	riswynn	a sweet dream from before and and just just quietly smiles at at at at Risman and at at exactly Hey you're mute in I see that I see that it's
riswyn	1	38	15	0	riswynn	from Do we have any kind of protection against curses Great question great great question Riswyn I think you're muted I'm muted and reading my spells style as you consider And
briswin	1	15	13	0	riswynn	kind of on our way too Didn't hurt Then we go back to pick up Briswin Kelgrosh right and disperse the save We'll back We'll back at Wubash and like reestablish
riswind	1	17	9	0	riswynn	the city of Drankor style in a brilliant decision to do 3 things at once Riswind teleported to deal with the riswind clone with the dwarfs So rizin's gone But Keith
briswyn	1	16	8	0	riswynn	the northern part of the Tardonian Empire not meddling in affairs again Good I and Briswyn tried to cure a secret of his curse and saw this like weird ice gargoyle
rizmann	1	10	8	0	riswynn	river itself like the water flowing down into the river itself and you recognize this Rizmann recognizes this This is Dun Mar This is the land just north of Tokra Um
rizwan's	1	9	5	0	riswynn	and worried about the crack growing bigger Oh dear And she was pulled back by Rizwan's magic We asked the Dinekai and Tanji if a Polyon is messing with the afterlife
wristwin	1	6	5	0	riswynn	that the sobbing is coming to all right Let's head to the something else before Wristwin can't resist the urge to re forge that sword any longer So you knock the
riswin's	1	29	17	0	riswynn's	to leave behind some unused wax for the So you've got a nice mold So riswin's been like cutting up the or heating up the silver and getting the forge going
rizwin's	1	11	8	0	riswynn's	have we actually started accomplishing things only fairly recently years when join us Coincidence No Rizwin's first session was like session Yeah recently this around for a bunch of the beginning
risen's	1	8	8	0	riswynn's	last legendary action A just a beam of cold shoots out from this creature that risen's turn immediate or if you're not muted we can't hear you We can't hear you
rolla	1	8	8	2.4	roll a	just check something about it Okay he's kind of a creature targets You attack So rolla G 20 So The chain swings around and it clocks welby for five points of
renick	1	8	8	1.81	runic	room it's it's like there's some way to determine that it is totally unrelated to renick magic And yeah it's it's it's just the holy symbol of show Cool Um If
scried	1	20	12	0	scryed	we protect ourselves against crying How do we know I mean You've all probably been scried on like plenty of times by fast down by now You used to have a
scries	1	10	6	0	scrys	parts of wherever he does his most secret work is shielded from Scribe and my scries never succeeded so what what level of Matri Do we learn The spell of takesy
sambara	1	25	14	0	sembara	of parchment and he draws something like this and he says heard you mentioned uh Sambara Sure this it's called the Western golf Yeah Samia is is right Here we are
skieships	1	4	3	0	skyships	castles and you come to my palace carrying one of the ancient hearts of the skieships of my people What game are you playing at Dwarf Play no game but seek
skieship	1	11	6	0	skyskip	perched on a cliff The cliff was less weather than its former form as a skieship of the storm giants clearer Then the winds brought news from across the vast kingdom
splot	1	3	3	0	slot	all right I cast rune of psychic disruption I need to use a 5th Level splot for that Arcenza will also use heroic inspiration That's a is that an what is
soulside	1	3	3	0	soul sight	have vicious intent or curious intent is not super It's not trivial to tell I'll soulside them Okay Ah that's your bonus action So um They are about level five so
soulsite	1	3	3	0	soul sight	Looks like it has streaks of smoke coming out of its mouth And as you soulsite it you can you You feel so So this is a This is a creature
sovin	1	13	3	0	soven	from Cloud Spinner's Court at Sunwine Hall Court of the Master of the Rebels Lord Sovin you must know him You're in his land I don't know if he would help
stoneboard	1	3	3	0	stoneborn	met him This this this man who freed me and we went together with a stoneboard to find the other arm bands at these ancient battle sites in the forest of
talgar	1	71	39	0	taelgar	that collision the material more the world was born giving birth to the lands of Talgar and its first inhabitants the Titans the Arch Fay the elder elementals and the great
telgar	1	15	14	0	taelgar	brings you to the Prince's court I want a journey to enjoy my friends of Telgar so I am passing through you Are It's interesting you are not You are no
tagar	1	15	8	0	taelgar	essence flowing through them like their roots carrying nutrients metaphorically from the other plane to Tagar This land has lots of these roots around it but many of them are the
tagaverse	1	4	3	0	taelgarverse	I could open the map somewhere else too but I think There's the map in Tagaverse Great I'm just gonna I also have the map if I just open obsidian to
tonchi	1	26	4	0	tanshi	as the dental calm And you mentioned their religion centered around the worship of these tonchi them at the gods are now And he lists many of them and some details
theceptor	1	3	3	0	the scepter	but is now not so closed because rise fist jade fist chattered and he created theceptor of command and possibly the other artifact like we know 3 artifacts right the of
toker	1	135	35	1.72	tokra	there's not really cities Was a handful of villages around oases and things like that toker is a substantial city on the river This city which you don't know the name
toka	1	12	8	1.63	tokra	you almost of the that the plane of Arborea that you passed through in in Toka or residents that you experienced in token of the overwhelming energy of life itself striving
tocra	1	9	8	0	tokra	to your safe little Bahara virus out place and destroy it Please thank you kindly Tocra is an armed camp now there's so much tension in the street I washed it
tokara	1	4	3	0	tokra	Yeah Your Methestone works Yep What's happening with Sarah Yeah let's check in How's how's Tokara Toka is safe She has received scouting reports that the Stoneborn have reached Tokra and
toland	1	53	17	2.21	tollen	like if if i'm remembering that right like if you draw a line south from toland maybe Yeah So there's that Western golf that's like there's a you go to in
tolin	1	35	14	1.17	tollen	and then you can have half an hour to discuss what you're gonna do in Tolin in in character preferably Hey Sam really quick Where is the ocean key on the
tolan	1	21	12	1.8	tollen	in Santa Barbara all the way to the mountains back down again Expense seasons and tolan Samia Saw the swamps This one My great great grandfather was a storyteller and when
tolen	1	9	7	0	tollen	people have never been further west then Semi Ah certainly a few have been to Tolen or Sambara None have been off the green sea and most of them are bright
umhm	1	26	12	0	umm	But these are both sort of aspects of of giants in a sense that they Umhm although they're not directly connected I mean metaphysically the outer races the giants and the
ersk	1	185	23	0	ursk	and difficult beasts but can often be found on the borders of my home and Ersk This is my ticket to freedom freedom from what that is a that is a
vakar	1	6	3	0	vaqar	a child she says of or it's unclear if it's a child or is the Vakar the spirit of the cruel west wind And then the kenku are concerned and they
vargold	1	15	3	0	vargaldi	if he can tell us anything about the Barbari What are the people called the Vargold the fire The people that live in the taiga in the forests between here and
vindrich sharna	2	82	25	1.81	vindristjarna	doesn't have it's not a famous step right It's not It's not you know Vindrich Sharna is not like a a name that's tossed down and giant lore of it because
vindersharna	1	22	12	0	vindristjarna	Nayan succession admits the oppressive heat of high summer somewhere and the note Faldrick pirates Vindersharna hopefully to quiet and safe ends back at the Silver Wolf in cut off from
vinder sharna	2	19	10	0	vindristjarna	easy one That should be pretty easy because it's although there's a little like Yes Vinder Sharna is a is a very familiar location The only slight quirk is because it's
vindisharna	1	17	8	0	vindristjarna	by Milo and Tilly And they're halfling Sellers emerges out of the storm to find Vindisharna waiting hovering above the the churning sea and you can see as you fly or
vindrasharna	1	11	6	0	vindristjarna	arriving back in Toland connecting with contacts Preparing to host your own party on on Vindrasharna your skyship making some initial inquiries around Tolen about stuff you might want to buy
vinja sharna	2	8	4	0	vindristjarna	just a In their face Yeah But also there's an advantage in doing it from Vinja Sharna right Yes Yes Yes Well How long is the Ice Turret Range The Ice
vintagerna	1	8	4	0	vindristjarna	geography although it's a gas because you were in the tower of the Colossus When Vintagerna was flying over this terrain The the top of the Garmjala plateau is like 6
vindasharna	1	7	4	0	vindristjarna	wrap up over the next The course of the next few hours you fly on Vindasharna until you reach what looks like the the so you can see where from where
vendrasharna	1	6	4	0	vindristjarna	the boat and have it fly or however you choose to reach the deck of Vendrasharna the crew having watched you emerge from the storm as gathered in waiting looming over
vindra sharna	2	6	4	0	vindristjarna	the Okay So we begin in the rapidly brightening Predon light hovering on the skieship Vindra Sharna no more than 40 miles from the borders of the orclands Ahead of you
vendorsharna	1	4	4	0	vindristjarna	and talked to you But she approaches it and she she's like glancing up at Vendorsharna as as she walks and and she she approaches you and she says II heard
vendra sharna	2	4	4	0	vindristjarna	No no Wearing the boots of speed I guess and happy to be back aboard Vendra Sharna again Hmm I think Dallas is I think he's probably more in a grimmer
vintoshana	1	4	4	0	vindristjarna	is finish this Our timeline is 8 days Right cause Then we teleport to Uzkart Vintoshana is there and then we had to tranquar on vintage Sharon to find the last
vindr sharna	2	8	3	0	vindristjarna	4 days like a few days Two days before they hit the plateau you'll have Vindr Sharna Once we avenge Asharna there's all kinds of things we could do Right but
vinjasarna	1	7	3	0	vindristjarna	top of that if we could do some guerrilla attacks on our own and some Vinjasarna bomb dropping Send we could send a why not send a ladder out every day
vinjasharna	1	7	3	0	vindristjarna	well I'll send a dream to Marcella tonight Hmm So you quickly Organize yourselves Lord Vinjasharna pry Kenzo away from the last of the negotiations try and settle investment goals and
vindicharna	1	3	3	0	vindristjarna	plane of the dead do the whole kill the factory thing rainbow Bridge back to Vindicharna kill Fausto and whatever other solve all the other problems of like Fausto's army taking
welby	1	659	86	2.46	wellby	are you a brawler or what's your fighting style It's yeah arrows I'm the like Welby of our team Yeah So the adventure starts Ekko and Eolo with Ekko and Eolo
wellbe	1	143	43	0	wellby	anything about the like physically where they are Yeah but you sense um you sense Wellbe is um Bobby is well-being is tricky because I haven't run well He's invention yet
wellbee	1	16	11	0	wellby	Everybody has to make it dexterity savings or no From my children State Everybody everybody Wellbee was wellbe was pretty far back not including wellbeing Including lobby Aye 16 20 22
weldy	1	12	10	1.02	wellby	size up the uh arms and armaments of others especially the the bow um and Weldy has you notice that he's packing a low and also a large net So Alamash
wellbey	1	12	10	0	wellby	wellbe is in a strange land You actually like the overwhelming sense you get from Wellbey is the just the sort of um fascination with the strangeness of the place he's
wabi	1	14	9	1.96	wellby	the Cassian was kind of an ass He did not deserve to live I think Wabi would have been perfectly happy to kill Cassie and like oh In the battle he
walby	1	8	7	1.25	wellby	going on Well he's voice in his head Oh it and it quickly checked for Walby like Can I do That sounds well be it's getting weird No there's nobody You
webe	1	4	4	1.12	wellby	sailing That's not his job I forgot to take a background So sailor seems reasonable Webe looks over at you I guess it's us then I'm familiar with the Salem craft
welbi	1	4	3	0	wellby	so let me tick off a dimension door levels that okay So Wait yes Schwartz Welbi will be I'm going to put you on the edge of the map and I'm
wilby	1	3	3	2.05	wellby	there a milk Can you find it out on the map First Yeah it's it's Wilby will unfold the map that that he's been documenting of the world and off to
welby's	1	121	33	0	wellby's	boat But I mean isn't like all of our worldly possessions in a locket around Welby's neck Pretty much Yeah including our mirror if we needed I mean the mirrors are
wellbe's	1	19	15	0	wellby's	curiosity about the fate and fake portals because he's just thinking a little bit about Wellbe's last statement to him about how to get back So he's keeping an eye out
wellbees	1	12	12	0	wellby's	down like a stone to but we'll use one of the and animal-based techniques of wellbees To get some initial sense of the tone of the direction in town I think
wabi's	1	12	8	0	wellby's	You are restrained by the shadows until the end of your next term That ends Wabi's turn Gosh Is gonna turn and look at Dollar with his next Then riz one
wellbey's	1	5	4	0	wellby's	strikes that it seems unaffected at the moment Um let's see That is who Ellen's Wellbey's turn It is at the end of um wellbey's turn you see that um one
walby's	1	3	3	0	wellby's	I'll create one in a minute It is Just draw a little ladder Yeah it's Walby's turn So wellbe is going to take steady AIM and shoot Does somebody want to
wordling	1	5	3	0	wyrdling	guild that supposedly predates the founding of Tolen that has been here forever and the Wordling is the patron of this guild and the members of the Philosopher's Guild almost never
yazali	1	5	5	0	yezali	the warmth of a hearth on a cold night and Of course there was a Yazali the spirit of the hunt and the moon trapped with me unbeknownst to me and
avanti	1	16	10	2.46	yuvanti	in those mountains as well I think many of them have moved southwest to the Avanti mountains because of course with the upheavals the southern part of the central mountain range
cardone and	2	52	19	1.92	chardonian	Feel like I feel like Kenza might have had some bad times And so much CARDONE and catacombs Back in the day that's That's definitely seems plausible Let's see To find
cardone	1				chardonian	
della's	1	20	19	1.24	delwath's	surprise Well I so I have no idea what's happened Honestly I don't know how della's got it here just supposed to describe him Okay No reaction No reaction Fine So
penza	1	19	14	1.56	kenzo	sort of Slow blank and then sort of got her all Roar mutter maybe LAUGH penza Europe All right Kansas Now like Very badly wounded gashed across his chest and his
kendra's	1	33	13	1.73	candrosa	or two right as play quickie was saying at the end of last session when Kendra's it was talking that you know there's somehow the power of Chicago and that had
kinzer	1	15	11	1.73	kenzo	plates on the floor just a really deep investigation of the room Okay Down within Kinzer Do you want do anything I'm going to Try to hone in on wherever she
murph	1	56	8	2.43	merfolk	go to get this flu But we're also gonna kill faster when we're by the Murph Yeah in fact these are these are in the order in which we got them
reshma	1	17	8	2.11		least not what they would have does not feel like a human thing hmm Did reshma resurrect or otherwise awaken anyone In the story of Giovanni yeah God He brought the
glave	1	34	7	1.31	glaive	and there's this shark is looking pretty badly wounded as this you stab with the glave and the burst of lightning so it's now ten feet below you the shark having
volo	1	8	7	2.03		And just chatted with like a shadow We black dagger appears in his hand I'm Volo watches this with interest and kind of Know what's what's happening but doesn't say anything
dawa	1	7	7	2.35		looks and he's you can see as this arrow is sticking out of him Bazaar Dawa stands up and is slightly laughing As he moves his hands from the controls Great
dawn's	1	7	7	2.48		morning is the rest of the rest of the night is uneventful wealthy And morning Dawn's sleeping in a little bit You Rise recovered from your Nighttime exertion Say you know
dianna	1	7	7	2.36		need be And not everybody here for the festival And let me reiterate The Miss Dianna Kuhn will not be Leaving this village Can they defend the temple Alone We will
gratia	1	7	7	2.35		It would be interesting to know a bit more about this crush Like what Is gratia Lady wizard a true God a Fake creature a dragon It would be interesting suppose
kens	1	7	7	2.06		just The sheer biodiversity of the jungle is just like much higher than any where Kens has ever been of his life that's awesome and it takes you a moment to
rossa	1	7	7	2.26		That I feel like I've been to but I know I actually haven't And 10 Rossa shared with me that he's been he's had strange dreams himself that have somehow involved
scri	1	7	7	1.22		trying to uncurse hopped our sword Thanks Continue to try crying the really good Yeah Scri and Karnos is useful Also I could try and talk to the the lock in
skirmisher	1	7	7	1.59		dodge work with minions And how does furniture What does it How does what the skirmisher using my reaction to move away Both both of them work fine uncanny dodge the
unrolls	1	7	7	1.53		know if one of you has the capability of of using this but um any unrolls this and it's it's a piece of paper that has Like mystical writing on it
dyers	1	27	6	2.05		know water skins Some good horses but those we have If you can convince hop dyers troop to give up some of their You know battle train fancy horses they do
karnos	1	14	6	0		uncurse hopped our sword Thanks Continue to try crying the really good Yeah Scri and Karnos is useful Also I could try and talk to the the lock in monks Yeah
gata	1	12	6	2.34		right now by the way is is quite dangerous And she has enemies here and Gata once once lived here after the Cloud Spinner departed i'm strange This place used to
oned	1	12	6	1.46		strike Yeah it's sick Wow So they are all in some tracks and it subtracts oned four from all of its attack roles till the end of your next turn Okay
chatgpt	1	8	6	0		You gotta talk about the stories about their heroes here let me tell you what Chatgpt said about their their thing The halfling wasn't in the list We didn't get cliffnets
dellwith	1	8	6	0		had met with with the stone born exile Who told you about the metal from Dellwith breastplate in kite IA a mythical as far as she had been concerned a a
delwith's	1	8	6	0		dying You could end up a hundred miles away from here I mean I like Delwith's plan I just want to have a backup which I think is Tilly going in
rizmin	1	8	6	0		in drink or or wherever because she can tell we're back to Vandercharda once the Rizmin problem is dealt with which will conveniently take exactly as much time as it takes
shawna	1	8	6	2.42		planning it maybe we'll come I mean if somebody's trying to do an outside Russia Shawna thing I just I don't think so would be might be my thought so It's
tanchi	1	8	6	0		just like the time trying to don't Dallas is actually quite interested in what the Tanchi think of this all like in a like He has kind of a weird relationship
borbon	1	7	6	1.58		exists Because I don't have any map saying this Forum for one Paying around with borbon fortress for a while and maybe find my heirloom that I came here for me
cercone	1	7	6	1.11		the mirror does this tumbling it's a it's a sort of a indeterminate Lee aged cercone in man You can't see much about his surroundings he seems to be wearing what
dwarving	1	7	6	0		humans we're looking for something If they got here recently Maybe they were looking for dwarving things and got tracked here so we should go looking for a talk Um Jim's
gashes	1	7	6	2.1		the Mountain ranges rising and Mesa mesas changing shape and Rocks breaking apart in great gashes in the earth forming all those things within the past couple of hundred years have
jarna	1	7	6	0		And so steps forward We spoke earlier of the star of the Wind Then just Jarna indeed might you be able to raise it for us Turn it over t0 0ur
kinzo	1	7	6	1.16		just on the tip of your tongue and it like vanishes in a flash as Kinzo steps close to And are they Kenza reaches out his hand Let me just check
milo's	1	7	6	2.29		first Let's see if they wanna if they're interested in finding my list We're yeah Milo's with the Murpho Why not We'll rest Yeah I mean they're interested but well actually
twod	1	7	6	0		I rolled a thirty Tim Wow Okay that's a natural threat So double damage it's twod six plus six or two da plus six now two d like six two d
bishma	1	6	6	0		kind of almost a little blurred nondescript Penzo stares at the man the mong of Bishma I can tell your story so they will remember Make a wisdom check with advantage
chardon's	1	6	6	0		sea to aid Carnos and Harvard was claiming with saying they must strike now before Chardon's aid arrives you know why would chart and be in league with at a summer
clangs	1	6	6	1.56		your journey in the morning Quiet settles over the town interrupted by the sort of clangs and Sort of bustling noises of horses being packed of of saddles be saddle bags
cliffy	1	6	6	1.86		and that Behind you The mountains rise quite steeply quite fast So it's a very cliffy face but these these valleys that sort of cut through where streams flow down are
delweth	1	6	6	0		shit Well it doesn't doesn't matter That was a very bad role Suddenly Kenzo and Delweth and Fuldrick all turn around as you see How tall are you seeker Not very
drinkor	1	6	6	0		drink or probably yeah that's another thing you could do is just go straight to Drinkor and talk to Rye Forget about any of this questing business I just would really
handholds	1	6	6	1.65		as just soft crumbly sands down and it might be tricky to find a solid handholds We can switch But you can see from the cliffs you know that that the
imbue	1	6	6	2.42		there are definitely some On dad that you know basically anything that can sort of imbue unnatural energy into dead bodies can create on death so I think what I'm most
kento	1	6	6	1.79		Sure you you would have heard this You would have heard this story So when Kento showed up him and Elizar got attacked by dragons that seem to be corrupted by
stoneborne	1	6	6	0		see she's going to First of all she'll say what happened to that elf and stoneborne with you Are they dead And then she will turn her hags Gaze on seeker
kesa	1	19	5	1.77		it's a It's a small village There's not a lot of governance that happens And Kesa is is sort of informally the Head of the Council But there's no sort of
josue	1	17	5	1.93		Ah that's a good question He you know he might have talked to The Smith Josue The Smith He was asking He was asking about about You know who knew about
mhm	1	11	5	2.49		for the chalice of the ruined priest Uh And then wandered into the battlefield presumably Mhm humans It's not theirs No pity from me to the that challenge our ticket home
darworth	1	8	5	0		out yet Where are your characters here sorry Hold on Beaker Well I'll be Kenzo Darworth and like that Okay Now can you see Yep Oh sorry you don't have night
desaturated	1	8	5	1.71		of his face Stretching down to his cloak now is turning into this like super desaturated gray instead of the brilliant Tolan red It's beginning to It's avoiding his beard for
fuldrick	1	8	5	0		Fadrick underwater natural one and that brings us to Doweth Think of your next Then Fuldrick I even do I'm under water Jesus I can cast a spell I guess Do
orchest	1	8	5	0		use it on yourself Yeah Well then then I can make me the make meteor orchest dude and I can speak or I can talk But I mean we can also
prow	1	8	5	2.3		you as you pass there's you know the occasional school of dolphins dancing on your prow You know the Flying Fish There's uh the shadow of a giant some sort of
rola	1	8	5	2.03		save our inspirations for the Constitution Save US by to be totally on And then rola just slash backslash GM roll Wendy 20 plus Plus your con plus two Oh my
sendings	1	8	5	1.43		I would just like to say again Well I meant as I said in my sendings to everyone who I could reach in a normal plane that I am so sorry
chely	1	7	5	1.45		stepping out first st The taillight trap triggerer You Right It's he's not real The chely The Daylight Knight at Rizwan's command steps into the room and you see him shake
counterspelling	1	7	5	0		bat Yeah and we're not going to fight any wizards are we Tim All my counterspelling was not necessary well prepared Nobody can successfully cast spells against us But um we
doweth	1	7	5	0		So I'll try and put everybody where they are okay a where is doing The Doweth and Kenzo are on the boat Seeker is 5 feet away from the boat and
hisses	1	7	5	2.38		you can Activate one of those And it's when you do that she like like hisses and puts her Her Arms up it's nasty dwarves Light And as you pad along
lubash's	1	7	5	0		my pay grade So we just or he could just point us the way to Lubash's chambers Well wait And are we leaving right away or we I feel like this
polymorphous	1	7	5	1.57		Because if I can get in range to see it I could try to cast polymorphous on it I can only see it because I can see that the pillars I
rackum	1	7	5	0		possible to restore spell slots Or is that not possible I mean the normal SIM Rackum can't restore spell slots This is clearly not a normal SIM Rack But maybe yeah
riswyn's	1	7	5	0		really actually do that because I can't I can't see You can't I can tunnel Riswyn's gonna have to tunnel you tunnel 30 feet If you tunnel 30 Yeah you're gonna
rye's	1	7	5	1.28		down at his school He seems to be reading for a moment The fate of Rye's hand will take considerable thought not an easy problem that the jade forest you're referring
scribing	1	7	5	1.82		a it's not a You can't control the eyes always pointed at the person you're scribing It's not like you can't like look around So how does it creating a location
soulsight	1	7	5	0		He's looking slightly down Right Huh An Alph strange He is talking in giant Kenzo soulsight to make a insight check with advantage He's right now He's curious and a little
baldric	1	6	5	1.5		leave right because I'll be here so it'll be very easy for you to say baldric Wake up this morning right You're staying here on the ship with us That means
bowstring	1	6	5	1.97		he's got a crossbow in one hand still that he recovered and restrung his flaming bowstring on um and is um ah Never like fully calm or settled in a place
hirelings	1	6	5	1.76		day the twenty-sixth of January Show something to the mirror Just an engineer Bring our hirelings down to like reconstruct stuff from the library check out this mural any like interesting
kins	1	6	5	2.07		statue Yeah okay But but no sign of Kenzo right currently No a sign of kins though Here we go Whoa Oh so you head cautiously through this archway and there's
numina	1	6	5	1.11		rule Right Apollyon was very eager to suppress the the worship of the of MOS numina because he wanted to replace them But it seems like there there actually was a
orian	1	6	5	1.27		disgrace Drink quarantine tutor to ask about or sorry Jace Chardonian to ask about drank Orian Empire Emperors Yeah i'm not sure exactly why but I guess you can ask him
pummels	1	6	5	1.8		it already did it Okay I see 19 damage dude Denzel flies up and just pummels on this thing Is there any way you could be on the other side of
robed	1	6	5	2.43		deeps of the wilderness How can I learn more about this man the speaker this robed figure he spoke to me He knew me I do not know I did not
smithing	1	6	5	1.97		a few minutes to kind of store his gear and just clean up the the smithing area and says Okay let's head along and he can tell he's probably hear a
adela	1	5	5	2.41		a demon in their back pocket would be A value So kind of messes that adela Ellis Have you heard of demons before the Great War anything like this Nothing I
bashes	1	5	5	2.5		with guns oh and TIM can roll for me and you know kinds of like bashes people in the heads and stuff like that so if that comes to that i'll
bedroll	1	5	5	1.75		water No water Is there any indication that the person who used to say that bedroll or the food was human or non human like from their size or other buddy
busto	1	5	5	1.54		of course it's the pattern they're trying to fucking Take our lifeless bodies back to busto Yeah here to likely animate us into even more powerful demon hunters Hmm So that
chardan	1	5	5	0		a little pissed at that The Alves have suffered more than any of you in Chardan They've suffered more than anybody on this planet Look I don't prespose any of your
chinodya	1	5	5	0		has the flame burning on it Sankara the goddess of beauty truth and justice and chinodya the goddess of nature and animals There's crumbled A few of the authors are crass
clairvoyants	1	5	5	1.74		how to do this I love this I should like soul site through seekers plan clairvoyants somehow now Bobby like you'd need some kind of telepathic ability yeah Okay I can
clatters	1	5	5	1.65		I I am A speaker of Chicago Data gannon and the staff almost sort of clatters to inside She couldn't speaks in riddles speaker if You like again sort of takes
darva	1	5	5	0		Look at the backlinks Find the session click on the session ads it was in Darva the guy who you that Travock Red Peak who you spoke with who came from
denmari	1	5	5	0		ourselves that Mari I guess Amen comments like trade It's like you totally talk Dunmar Denmari you all know and in this part of the world Not that many people do
dims	1	5	5	2.29		as it began like the fires almost dim the fire of your of your attack dims a little as as you hit it But your warhammer still make solid contact despite
dros	1	5	5	1.67		the the sort of danger That's coming but rumors that that you've heard From Ken Dros and the sort of you know stuff that's happening has not really reached town yet
